Title,ReleaseDate,Overview,VoteAverage,VoteCount,OriginalLanguage,Genres,Runtime,Tagline,Budget,Revenue,ProductionCompanies,ProductionCountries,SpokenLanguages,IMDBId
The Boy in the Striped Pyjamas,2008-05-07,"When his family moves from their home in Berlin to a strange new house in Poland, young Bruno befriends Shmuel, a boy who lives on the other side of the fence where everyone seems to be wearing striped pajamas. Unaware of Shmuel's fate as a Jewish prisoner or the role his own Nazi father plays in his imprisonment, Bruno embarks on a dangerous journey inside the camp's walls.",7.842,7007,en,Drama;War;History,94,"Lines may divide us, but hope will unite us.",12500000,20416563,BBC Film;Miramax;Heyday Films,United Kingdom;United States of America,English,tt0914798
The Babysitters,2008-05-09,"Seventeen-year-old Shirley is a good student who works as a babysitter in order to make money for college. One night Michael, a father Shirley works for, confesses he's unhappy with married life. Shirley has a crush on Michael, and seizes this moment to kiss him. Michael is so happy he presents Shirley with a big tip, which gives her an idea. Shirley plans to make extra money by setting up her teenage friends with other unhappy fathers.",6.002,471,en,Drama,88,These girls mean business.,0,44852,Upload Films;Forensic Films;O.D.D. Entertainment;Rebel Films,United States of America,English,tt0796302
Sex and the City,2008-05-12,A New York writer on sex and love is finally getting married to her Mr. Big. But her three best girlfriends must console her after one of them inadvertently leads Mr. Big to jilt her.,6.578,2077,en,Comedy;Drama;Romance,146,Get Carried away.,65000000,418800000,Darren Star Productions;New Line Cinema;HBO,United States of America,English,tt1000774
The Chronicles of Narnia: Prince Caspian,2008-05-15,"One year after their incredible adventures in the Lion, the Witch and the Wardrobe, Peter, Edmund, Lucy and Susan Pevensie return to Narnia to aid a young prince whose life has been threatened by the evil King Miraz. Now, with the help of a colorful cast of new characters, including Trufflehunter the badger and Nikabrik the dwarf, the Pevensie clan embarks on an incredible quest to ensure that Narnia is returned to its rightful heir.",6.621,6238,en,Adventure;Family;Fantasy,150,Everything you know is about to change forever.,225000000,419665568,Walt Disney Pictures;Walden Media;Stillking Films;Ozumi Films;Propeler;Silverbell Films;Revolution Sun Studios,Czech Republic;Poland;Slovenia;United States of America,English,tt0499448
Indiana Jones and the Kingdom of the Crystal Skull,2008-05-21,"Set during the Cold War, the Soviets—led by sword-wielding Irina Spalko—are in search of a crystal skull which has supernatural powers related to a mystical Lost City of Gold. Indy is coerced to head to Peru at the behest of a young man whose friend—and Indy's colleague—Professor Oxley has been captured for his knowledge of the skull's whereabouts.",6.01,8116,en,Adventure;Action,122,The adventure continues...,185000000,786636033,Paramount Pictures;Lucasfilm Ltd.,United States of America,English;Deutsch;Pусский,tt0367882
The Strangers,2008-05-29,"After a 4 a.m. knock at the door and haunting voices, Kristen McKay and James Hoyt’s remote getaway becomes a psychological night of terror as three masked strangers invade. Now they must go far beyond what they thought themselves capable of if they hope to survive.",6.113,2353,en,Horror;Mystery;Thriller,86,Lock the door. Pretend you're safe.,9000000,82391145,Intrepid Pictures;Rogue Pictures;Vertigo Entertainment;Mandate Pictures,United States of America,English,tt0482606
You Don't Mess with the Zohan,2008-06-05,An Israeli counterterrorism soldier with a secretly fabulous ambition to become a Manhattan hairstylist. Zohan's desire runs so deep that he'll do anything -- including faking his own death and going head-to-head with an Arab cab driver -- to make his dreams come true.,5.708,3672,en,Comedy;Action,113,Lather. Rinse. Save the world.,90000000,204313400,Relativity Media;Happy Madison Productions,United States of America,English;עִבְרִית,tt0960144
The Happening,2008-06-11,"When a deadly airborne virus threatens to wipe out the northeastern United States, teacher Elliott Moore and his wife Alma flee from contaminated cities into the countryside in a fight to discover the truth. Is it terrorism, the accidental release of some toxic military bio weapon -- or something even more sinister?",5.399,3507,en,Thriller;Science Fiction,91,We've sensed it. We've seen the signs. Now...it's happening.,60000000,163403799,Spyglass Entertainment;Blinding Edge Pictures;UTV Motion Pictures;20th Century Fox,India;United States of America,English;Français,tt0949731
The Incredible Hulk,2008-06-12,"Scientist Bruce Banner scours the planet for an antidote to the unbridled force of rage within him: the Hulk. But when the military masterminds who dream of exploiting his powers force him back to civilization, he finds himself coming face to face with a new, deadly foe.",6.211,11549,en,Science Fiction;Action;Adventure,114,You'll like him when he's angry.,150000000,163712074,Marvel Studios;Valhalla Motion Pictures;Marvel Entertainment,United States of America,Português;Español;English,tt0800080
Martyrs,2008-06-12,"A young woman’s quest for revenge against the people who kidnapped and tortured her as a child leads her and her best friend, also a victim of child abuse, on a terrifying journey into a living hell of depravity.",7.315,2615,fr,Horror;Drama;Thriller,99,They haven't finished being alive.,6500000,1100000,Wild Bunch;TCB Films;Eskwad,Canada;France,Français,tt1029234
Wanted,2008-06-19,"Doormat Wesley Gibson is an office worker whose life is going nowhere. He meets a sexy woman named Fox and discovers that his recently murdered father - whom Wesley never knew - belonged to the Fraternity, a secret society of assassins which takes its orders from Fate itself. Fox and Sloan, the Fraternity's leader, teach Wesley, through intense training, to tap into dormant powers and hone his innate killing skills. Though he enjoys his newfound abilities, he begins to suspect that there is more to the Fraternity than meets the eye.",6.52,6855,en,Action;Thriller;Crime,110,Choose your destiny.,75000000,342463063,Kickstart Entertainment;Universal Pictures;Spyglass Entertainment;Marc Platt Productions;Top Cow Productions;Relativity Media;Ringerike Zweite Filmproduktion;Revolution Sun Studios;Bazelevs Production;Studio 414,Germany;United States of America,English,tt0493464
Get Smart,2008-06-19,"When members of the nefarious crime syndicate KAOS attack the U.S. spy agency Control and the identities of secret agents are compromised, the Chief has to promote hapless but eager analyst Maxwell Smart to field agent. He is partnered with veteran and capable Agent 99, the only spy whose cover remains intact. Can they work together to thwart the evil world-domination plans of KAOS and its crafty operative?",6.191,3484,en,Action;Comedy;Thriller,110,Saving the world...and loving it.,80000000,230685453,Mosaic Media Group;Mad Chance;Callahan Filmworks;Warner Bros. Pictures;Village Roadshow Pictures,United States of America,English;Pусский,tt0425061
Hancock,2008-07-01,"Hancock is a down-and-out superhero who's forced to employ a PR expert to help repair his image when the public grows weary of all the damage he's inflicted during his lifesaving heroics. The agent's idea of imprisoning the antihero to make the world miss him proves successful, but will Hancock stick to his new sense of purpose or slip back into old habits?",6.348,9396,en,Fantasy;Action,92,There are heroes. There are superheroes. And then there's Hancock.,150000000,629400000,Columbia Pictures;Relativity Media;Blue Light;Weed Road Pictures;Overbrook Entertainment,United States of America,English;日本語,tt0448157
The Mummy: Tomb of the Dragon Emperor,2008-07-01,"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",5.5,4330,en,Adventure;Action;Fantasy,112,A New Evil Awakens.,145000000,403449830,Universal Pictures;Relativity Media;The Sommers Company;Alphaville Films;Beijing Happy Pictures;Shanghai Film Group;Internationale Filmproduktion Blackbird Erste,China;Germany;United States of America,English;普通话;,tt0859163
Mamma Mia!,2008-07-03,"An independent, single mother who owns a small hotel on a Greek island is about to marry off the spirited young daughter she's raised alone. But, the daughter has secretly invited three of her mother's ex-lovers in the hopes of finding her biological father.",6.975,6354,en,Comedy;Romance,108,A mother. A daughter. Three possible fathers. A trip down the aisle you'll never forget.,52000000,609841637,Littlestar;Playtone;Internationale Filmproduktion Richter,Germany;United Kingdom;United States of America,English;ελληνικά,tt0795421
Journey to the Center of the Earth,2008-07-10,"On a quest to find out what happened to his missing brother, a scientist, his nephew and their mountain guide discover a fantastic and dangerous lost world in the center of the earth.",6.078,4705,en,Action;Science Fiction;Adventure;Comedy;Family,93,Same Planet. Different World.,45000000,101702060,New Line Cinema;Walden Media;Journey Films,United States of America,English;Íslenska;Italiano,tt0373051
Hellboy II: The Golden Army,2008-07-11,"Hellboy, his pyrokinetic girlfriend, Liz, and aquatic empath, Abe Sapien, face their biggest battle when an underworld elven prince plans to reclaim Earth for his magical kindred. Tired of living in the shadow of humans, Prince Nuada tries to awaken an ancient force of killing machines, the all-powerful Golden Army, to clear the way for fantasy creatures to roam free. Only Hellboy can stop the dark prince and prevent humanity's annihilation.",6.759,5033,en,Fantasy;Adventure;Action,120,Believe it or not... He's the good guy.,85000000,160388063,Universal Pictures;Dark Horse Entertainment;Internationale Filmproduktion Eagle;Mid Atlantic Films;Relativity Media;Lawrence Gordon Productions,Germany;Hungary;United States of America,English,tt0411477
